event_date,source,title,url,location,event_type,impact_target,trigger_module,trigger_scenario,confidence,replay_id,detected_time,alert_lead_indicator,expected_effect_window_days,evaluation_basis,proxy_confirmation_delay_days,proxy_confirmation_time,proxy_lead_days
2026-08-11,Google News RSS,Lessons on semiconductor development for Vietnam from Malaysia's strategy. - Vietnam.vn,https://news.google.com/rss/articles/CBMimwFBVV95cUxNTDJiaHMxaG1hRVpzQXJOWmtNbzFQQ2NzMHBGTWRzSENEX0Y5TVNXZWc2RU5HMHkxVXNsYV93Z3FfcW05NlB1U29NanRiZnN3RmhmRWNORUMxcktsMEEtYTdGVGstaGFkZ29QTnBrcW9BaUphSVBDVlJkWV9vdG5BQk03Y3ZCcGF1Mk8wZUJKdXhYcTRiSmJpMmlBYw?oc=5,Malaysia,semiconductor_policy,supply_source,module1_risk_propagation,top_1_supplier_failure,0.85,R011,2026-08-11,market_signal_fast,30,testing_proxy_not_observed_confirmation,30,2026-09-10,30
2026-08-11,Google News RSS,Semiconductor surge puts Malaysia in sweet spot for China Plus One - Focus Malaysia,https://news.google.com/rss/articles/CBMilwFBVV95cUxNQ1FLVDctRDRpMzEwa1JjYnVOaGlNUF9tUGp1UVJZWW5DN1BIeVdINV80X3U5eUEwaWRjRnJOV1dMWnF4LWk3T0N1MlB5S3lDZWI0QWFWT2s3SkVWVGFkQXMzWFk1MnRITERDQXBJa3YzTWw2RUdNZnNtcXB2MVdmaEE4NjN5LTRxTmdoUVk4SG5KWGpTeFFZ?oc=5,China; Malaysia,semiconductor_policy,supply_source,module1_risk_propagation,top_1_supplier_failure,0.85,R012,2026-08-11,market_signal_fast,30,testing_proxy_not_observed_confirmation,30,2026-09-10,30
2026-08-11,Google News RSS,Expert gives advice to Vietnam’s semiconductor sector from Malaysia’s experience - Vietnam+ (VietnamPlus),https://news.google.com/rss/articles/CBMiuwFBVV95cUxOWERDMTFWbFc5RFJqZjl5VXZGRGpIbk51NjNlNGVvcVRxU21wcmJQWGZfeWVqQnpnT21jU0FYRHVrSzlPMXJTNG1ocHRWUEFRUjJrLXVGOEM4R1dGTHdPd3VaX2R6RmVsVUkxNGxaSWxRbzVRYVhETVdUOUpOMXpmUnhPSGkyNm11YXZpTHRwTWEzdzR1cDg4NmpjcXdFYS1MVHdFOXJpdTJwbjhRVVdZTnNBYUhQTmxKWUpV?oc=5,Malaysia,semiconductor_policy,supply_source,module1_risk_propagation,top_1_supplier_failure,0.85,R013,2026-08-11,market_signal_fast,30,testing_proxy_not_observed_confirmation,30,2026-09-10,30
2026-08-11,Google News RSS,Malaysia wants to climb the semiconductor value chain. Siemens' executives see a narrow path - Tech Wire Asia,https://news.google.com/rss/articles/CBMiggFBVV95cUxNMHhDVlJMYUh6TU1sUkZVSkVEXzNIV3dLVU9CbmthNUU1TG5YZjh2azF5bkpEMlVYVGpROUhRS2V1WjdJcUVhekFBMXYyMHBjcDBOZkptbGNiN2x3WlhKV2Q3TFNCVHY4Q1NEcXBrNjdZZWtMbzVMNVpoYXpQSHFiR0NR?oc=5,Asia; Malaysia,semiconductor_policy,supply_source,module1_risk_propagation,top_1_supplier_failure,0.85,R014,2026-08-11,market_signal_fast,30,testing_proxy_not_observed_confirmation,30,2026-09-10,30
2026-08-12,Google News RSS,AI could help Malaysia move up global semiconductor value chain: Expert - The Sun Malaysia,https://news.google.com/rss/articles/CBMirAFBVV95cUxPbC1IazZiMkl1ZFdwakpkVDNuWkRvd2xiSTRUNnU0ZTRhSXJXRGd2T1p0aVNCTm9tUGZYdHJ5Zm1LTFk0UkhOZ1dKR1M3Ynl3anRvSUdXeWlCcjM4eUR6OVVXMHB4V1cwQThGbGs5blN0c3BqdFdBZzNubWJfbmdjTlBNVDVmMDlYT296SHRyWklLaC1JSl9qRFhZTV9sMHBtRVBBTnloSnl5VHdZ?oc=5,Malaysia,semiconductor_policy,supply_source,module1_risk_propagation,top_1_supplier_failure,0.85,R015,2026-08-12,market_signal_fast,30,testing_proxy_not_observed_confirmation,30,2026-09-11,30
2026-08-12,Google News RSS,Deadly attack on Red Sea ship adds to global supply chain uncertainty - UN News,https://news.google.com/rss/articles/CBMiV0FVX3lxTE5IcjBTNWs4R3N2UXNNQmw0X3l3Tml3TDYyODJKLXF3MjQ2MUZjblB0Rl9zTFdnelVHNkZMVzZTbExZRHFKZldseWJqbFZLUEt5SkdWd2xRNA?oc=5,Red Sea,logistics_disruption,transport_channel,module2_transportation,lane_rerouting_check,0.85,R016,2026-08-12,market_signal_fast,14,testing_proxy_not_observed_confirmation,21,2026-09-02,21
2026-08-13,Google News RSS,"Malaysia emerges as AI tech upcycle winner, but chip ambitions face talent hurdle — HSBC - The Edge Malaysia",https://news.google.com/rss/articles/CBMiU0FVX3lxTFBobFFsUFpRcmxWWG5KSmxKbEhCNVJmSG1WZklRdWtpOWd3LWJmX0RyOVRhN1poUnNROVR6LTBvemU1OFlQNk5iUUowYlpFMGNER1Zv?oc=5,Malaysia,semiconductor_policy,supply_source,module1_risk_propagation,top_1_supplier_failure,0.85,R017,2026-08-13,market_signal_fast,30,testing_proxy_not_observed_confirmation,30,2026-09-12,30
2026-08-13,Google News RSS,Deadly attack on Red Sea ship adds to global supply chain uncertainty - The European Sting,https://news.google.com/rss/articles/CBMiqwFBVV95cUxON3drYW1jTnhBZm1UWHM3eWhuaXBJUXFnV20tU3RmNTBJQWtwUndqcmlkWDh4QU5BM0dFbVZncWlJRzFnQmVtVWt1eHlROThOcXVfdDVicnFLbW9SS2E3NThpZjZ6R3FDM1UyYTNsVkV5aTJ5b3EtNVJfSmhxX2ZnQ0ZhMTNGMmxxSmRSNS0wSlUzSkZ6bXJDYmN3ckg3d1BRUlFoX0xOcS05TjA?oc=5,Red Sea,logistics_disruption,transport_channel,module2_transportation,lane_rerouting_check,0.85,R018,2026-08-13,market_signal_fast,14,testing_proxy_not_observed_confirmation,21,2026-09-03,21
2026-08-14,Google News RSS,Malaysia’s Semiconductor Base Can Power Its Next AI Growth Phase - BusinessToday Malaysia,https://news.google.com/rss/articles/CBMirAFBVV95cUxNRDVLX2pxak5Id0hJX0FkMnNHZ3hSLTIzd1hqSF9feGtvT3MxSm1qb0dVY3JhT0RxUzVFMHdNS0dnTko5eUlidUlsX3ZKS0Rhc1IyVmo4M3laY0RSVmNwYldvNTd4Z3padVFyd3RZd0RDbjh6QlRxVzBTTlhVTUhFZ2hEcEhRX3hFNTlGM0xSNkNqUjBwYndiYTRTREJ5ZUJtM2pWdzVNT2dRSTls?oc=5,Malaysia,semiconductor_policy,supply_source,module1_risk_propagation,top_1_supplier_failure,0.85,R019,2026-08-14,market_signal_fast,30,testing_proxy_not_observed_confirmation,30,2026-09-13,30
2026-08-14,Google News RSS,"Malaysia’s chip sector faces uneven AI gains, supply risks - HSBC - TNGlobal",https://news.google.com/rss/articles/CBMilwFBVV95cUxPY282Z1NRVTI4QnlDRzJFWm9YVHdhQTZ2MWVrSG02MnZCMFBzY3B4ZUd6Mks5R0dRZENFSmI1Z3JiWlNsLTFJQmVvNExtdE9FV0FXVk1iVm1TLVlPYXNJNFNPSlI2Q01zVVV3ZDBZY3NmXzNkYXdMMk1MbDFkYlppVlRNSnhacDVUS3Q2Y21BSmYxUElWWG80?oc=5,Malaysia,semiconductor_policy,supply_source,module1_risk_propagation,top_1_supplier_failure,0.85,R020,2026-08-14,market_signal_fast,30,testing_proxy_not_observed_confirmation,30,2026-09-13,30
